,PLAYER,GP,MIN,DIST.FEET,DIST.MILES,DIST.MILESOFF,DIST.MILESDEF,AVGSPEED,AVGSPEEDOFF,AVGSPEEDDEF,LESSTHAN5FT.FGM,LESSTHAN5FT.FGA,LESSTHAN5FT.FG%,5-9FT.FGM,5-9FT.FGA,5-9FT.FG%,10-14FT.FGM,10-14FT.FGA,10-14FT.FG%,15-19FT.FGM,15-19FT.FGA,15-19FT.FG%,20-24FT.FGM,20-24FT.FGA,20-24FT.FG%,25-29FT.FGM,25-29FT.FGA,25-29FT.FG%,UNNAMED:0,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,AGE,SCREENASSISTS,SCREENASSISTSPTS,DEFLECTIONS,OFFLOOSEBALLSRECOVERED,DEFLOOSEBALLSRECOVERED,LOOSEBALLSRECOVERED,%LOOSEBALLSRECOVEREDOFF,%LOOSEBALLSRECOVEREDDEF,CHARGESDRAWN,CONTESTED2PTSHOTS,CONTESTED3PTSHOTS,CONTESTEDSHOTS,TEAM,W,L,PASSESMADE,PASSESRECEIVED,SECONDARYAST,POTENTIALAST,ASTPTSCREATED.1,ASTADJ,ASTTOPASS%,ASTTOPASS%ADJ,TOTALMIN,Player,2020/21
80,DeMar DeRozan,61,33.7,12561.5,2.38,1.31,1.07,4.05,4.41,3.69,1.3003614420401262,4.2,59.8,1.4,2.7,50.9,1.0353258682575661,3.6,47.5,0.8707593470662016,2.8,47.1,0.3557843397533995,1.1,35.4,0.1,0.7,22.5,32,21.6,7.5,15.1,49.5,0.27799135181387846,1.2,25.7,6.3,7.2,88.0,0.5583432532992249,1.5780911626181033,1.7023173010347632,2.0,0.6736709094993245,0.19363222569044006,2.1,38.6,13,0,-1.7,31,0.19363222569044006,0.6,0.9966529502426067,0.4,0.4,0.6176687193840398,48.0,52.0,0.02,0.9145087296205862,0.9564240620198212,2.9,SAS,27,34,3.7176168537283636,51.7,0.6,12.5,17.6,2.233486238782179,18.4,20.7,2055.7000000000003,DeMar DeRozan,27739975
81,DeMarcus Cousins,41,17.4,5794.3,1.1,0.58,0.52,3.69,3.77,3.6,1.5079014932146777,3.3,50.4,0.3,0.6,47.8,0.0,0.1,33.3,0.18805223150293962,0.2,33.3,0.6029960835656478,0.7,55.6,0.8,2.6,29.6,215,8.9,3.2,7.4,42.6,1.1865810616140668,3.3,34.8,1.4,2.0,72.8,1.305533004475432,2.4468347018385925,2.656151762974559,1.6,0.9765095918672099,0.807091439909163,2.6,22.1,7,0,-1.5,30,1.5955488002734333,4.2,1.4610179073158271,0.2,0.2,0.6029960835656478,55.6,44.4,0.24,2.2710588393472717,1.4610179073158271,5.8,LAC,22,19,4.0185552481387345,21.7,0.3,3.2,4.4,1.714108534997989,7.0,8.3,713.4,DeMarcus Cousins,3051832
84,Dejounte Murray,67,31.9,12833.1,2.43,1.31,1.12,4.38,4.7,4.05,1.2478246868547855,3.8,58.3,0.8,2.1,39.0,0.9477650978922253,3.1,45.1,0.8562145489792902,2.6,46.0,0.3725359513013896,1.2,32.1,0.6,1.8,33.3,79,15.7,6.6,14.5,45.3,0.7009536214527748,3.0,31.7,1.6,2.0,79.1,0.7009536214527748,2.0790496153569666,2.1986168504466064,1.7,0.9905778191994109,0.10692668669057115,2.0,35.4,13,4,1.3,24,0.20351645720052125,0.5,1.4522523289116882,0.3,0.5,0.7009536214527748,39.0,61.0,0.0,1.425484931547363,1.2797140143445263,5.0,SAS,32,35,4.054425590714136,52.6,0.6,9.6,13.4,2.106882877082029,10.8,12.7,2137.2999999999997,Dejounte Murray,14286000
85,Delon Wright,63,27.7,11285.5,2.14,1.18,0.96,4.38,4.65,4.09,1.3162049629323,3.6,58.3,0.4,1.2,35.9,0.23105441601508878,0.5,36.7,0.12218568435281478,0.1,50.0,0.3292258281004457,1.1,32.8,0.7,1.6,40.8,179,10.2,3.8,8.2,46.3,0.8327521493848248,2.7,37.2,1.6,2.0,80.2,0.8327521493848248,1.640712671742529,1.8853177598292532,1.3,1.1247420413043407,0.5006658847068661,1.2,26.9,3,0,-1.7,29,0.23105441601508878,0.4,1.5890141536475306,0.4,0.5,0.7128082249591025,43.4,56.6,0.03,1.3835831077645147,1.0365576436523476,3.8,SAC,21,42,4.109452484010999,45.8,0.5,8.8,11.6,2.0318465114287183,9.6,11.2,1745.1,Delon Wright,9000000
87,Denzel Valentine,62,16.7,6720.9,1.27,0.69,0.59,4.28,4.57,3.99,0.621799099762479,0.8,58.7,0.2,0.7,37.5,0.4987772852498162,1.0,33.9,0.19521216662503216,0.4,36.4,0.7313309675301041,1.6,32.7,0.9,2.4,34.9,309,6.5,2.5,6.7,37.3,1.3356311864759367,3.9,33.1,0.3,0.3,94.1,0.621799099762479,1.9510296141615042,2.0666353403005595,0.7,0.7313309675301041,0.19521216662503216,1.1,14.0,0,0,0.7,27,0.19521216662503216,0.3,1.0023036065341955,0.1,0.3,0.621799099762479,26.9,73.1,0.0,1.3356311864759367,1.4430368534798177,2.8,CHI,26,36,3.5321556062481076,16.4,0.2,3.1,4.5,1.6698511698928244,11.0,13.2,1035.3999999999999,Denzel Valentine,4642800
88,Derrick Favors,68,15.3,5971.2,1.13,0.6,0.53,4.21,4.41,4.0,1.5612358106162227,2.4,69.4,0.4,0.5,69.4,0.38566248081198473,0.4,50.0,0.21130909366720696,0.2,37.5,0.0,0.1,0.0,0.0,0.0,0.0,346,5.4,2.3,3.6,63.8,0.0,0.0,0.0,0.9,1.2,73.8,1.7414976344471669,2.223032461292092,2.6348467970789153,0.5,0.7777045685880085,1.209837923778334,2.1,16.9,1,0,0.5,29,1.8941744746561244,5.8,1.0586069540544105,0.3,0.2,0.7777045685880085,57.6,42.4,0.03,2.833213344056216,1.5105920777974677,8.3,UTA,49,19,3.30882406153114,9.1,0.1,1.3,1.9,1.0586069540544105,5.8,6.7,1040.4,Derrick Favors,9258000
89,Derrick Rose,50,25.6,9922.3,1.88,1.03,0.85,4.16,4.47,3.83,1.300702430784487,3.7,51.3,0.9,2.1,44.3,0.7537718023763802,1.6,51.3,0.8178506590609026,1.8,48.9,0.44628710262841953,1.0,39.6,0.8,1.9,40.6,92,14.7,5.7,12.2,47.0,0.8780695190539572,2.6,38.8,2.2,2.5,86.6,0.44628710262841953,1.409461420401425,1.5382104031457327,1.6,0.8780695190539572,0.44628710262841953,1.1,26.6,1,0,2.7,32,0.13157635778871926,0.2,1.1344217413648205,0.4,0.4,0.6853040030989194,50.0,50.0,0.04,1.2210142701807878,1.300702430784487,3.6,NYK,28,22,4.062058084921717,49.4,0.5,8.5,11.2,2.100698380705251,10.3,12.6,1280.0,Derrick Rose,7682926
90,Derrick White,36,29.5,11315.2,2.14,1.16,0.99,4.19,4.57,3.83,1.0826666205126831,2.7,59.2,0.8,1.7,46.8,0.31196120560686313,0.9,29.4,0.11514301903724314,0.4,28.6,0.6174734460821613,1.8,38.1,1.7,5.0,33.1,84,15.4,5.2,12.6,41.1,1.3367835983986234,6.8,34.6,2.7,3.2,85.1,0.39752405673535157,1.4286067698446336,1.5392336537608517,1.3,0.6174734460821613,0.7976598792954323,2.5,28.1,0,0,2.6,26,0.39752405673535157,1.0,1.1995562861906905,0.3,0.3,0.5493942338638846,55.0,45.0,0.39,1.8704975452749266,1.5392336537608517,7.5,SAS,18,18,3.617492678361061,38.4,0.4,5.6,8.4,1.7923242814430138,11.9,13.8,1062.0,Derrick White,3516284
92,Devin Booker,67,33.9,13016.7,2.47,1.38,1.08,4.14,4.64,3.63,1.3796350690299137,4.5,62.2,1.0,2.1,50.4,1.1044946585711761,3.7,52.4,0.8673235608894985,2.6,50.3,0.6707748828054123,2.0,43.9,1.3,4.2,31.2,14,25.6,9.3,19.2,48.4,1.1044946585711761,5.5,34.0,5.1,5.9,86.7,0.4259037757854383,1.5951774212149434,1.6974812051930475,3.1,0.6149464332524704,0.19259310711578442,2.7,37.1,1,0,4.9,24,0.2765584872331186,0.7,0.7738703918323865,0.4,0.3,0.555815910025648,54.3,45.7,0.01,1.3247013502120761,1.3525453763832498,5.3,PHX,48,19,3.459354968401178,49.1,0.9,8.4,11.3,1.9382958990700678,14.9,19.2,2271.2999999999997,Devin Booker,29467800
94,Dillon Brooks,67,29.8,11536.6,2.18,1.09,1.1,4.19,4.29,4.1,1.1924978218490614,3.3,58.9,0.5,1.7,31.3,0.8959510476370323,3.0,40.3,0.6762263030716081,1.7,46.9,0.735846606233775,2.0,45.2,1.1,3.7,28.8,64,17.2,6.4,15.4,41.9,1.1924978218490614,5.6,34.4,2.4,2.9,81.5,0.6762263030716081,1.263254242595903,1.5048228310262226,1.8,0.8959510476370323,0.39421639557229365,3.5,27.1,0,0,2.3,25,0.3092596730963281,0.7,1.4776308233309718,0.2,0.4,0.612824791721112,35.6,64.4,0.03,1.4776308233309718,1.5048228310262226,5.7,MEM,36,31,3.3343594254111055,32.2,0.3,4.1,5.7,1.4776308233309718,10.5,12.6,1996.6000000000001,Dillon Brooks,11400000
